"Zakaznik_id";"Meno";"Priezvisko";"Telefon";"Mail"
"2001";"Peter";"Fašang";"940 499 433";"pfasang@gmail.com"
"2002";"Jakub";"Vanga";"943 345 554";"jvanga@gmail.com"
"2003";"Viera";"Nemčoková";"922 556 322";"vnemcokova@gmail.com"
"2004";"Marek";"Kováč";"944 221 587";"mkovac@gmail.com"
"2005";"Lucia";"Šoltésová";"940 876 213";"lsoltesova@gmail.com"
"2006";"Tomáš";"Kučera";"949 154 623";"tkucera@gmail.com"
"2007";"Martin";"Horváth";"943 287 491";"mhorvath@gmail.com"
"2008";"Michaela";"Kováčová";"948 902 166";"mkovacova@gmail.com"
"2009";"Adam";"Petrík";"940 665 871";"apetrik@gmail.com"
"2010";"Natália";"Luptáková";"941 289 542";"nluptakova@gmail.com"
"2011";"Andrej";"Chovan";"949 552 789";"achovan@gmail.com"
"2012";"Dominika";"Hrivnáková";"948 774 111";"dhrivnakova@gmail.com"
"2013";"Patrik";"Bielik";"940 312 487";"pbielik@gmail.com"
"2014";"Simona";"Tóthová";"944 265 974";"stothova@gmail.com"
"2015";"Samuel";"Farkaš";"943 188 540";"sfarkas@gmail.com"
"2016";"Petra";"Králiková";"948 320 777";"pkralikova@gmail.com"
"2017";"Filip";"Klein";"940 199 654";"fklein@gmail.com"
"2018";"Viktória";"Poláková";"949 417 350";"vpolakova@gmail.com"
"2019";"Matúš";"Oravec";"941 662 199";"moravec@gmail.com"
"2020";"Veronika";"Hudecová";"940 365 782";"vhudecova@gmail.com"
"2021";"Kristián";"Gregor";"948 725 011";"kgregor@gmail.com"
"2022";"Monika";"Svitková";"949 583 400";"msvitkova@gmail.com"
"2023";"Róbert";"Šimko";"943 875 912";"rsimko@gmail.com"
"2024";"Nikola";"Bartošová";"940 203 457";"nbartosova@gmail.com"
"2025";"Peter";"Janík";"944 401 321";"pjanik@gmail.com"
"2026";"Laura";"Šimková";"941 226 503";"lsimkova@gmail.com"
"2027";"Juraj";"Benko";"940 585 199";"jbenko@gmail.com"
"2028";"Lenka";"Gáborová";"949 344 781";"lgaborova@gmail.com"
"2029";"Michal";"Križan";"948 255 907";"mkrizan@gmail.com"
"2030";"Alžbeta";"Ružičková";"940 114 302";"aruzi@gmail.com"
"2031";"Jakub";"Varga";"948 772 981";"jvarga@gmail.com"
"2032";"Nina";"Holíková";"943 256 700";"nholikova@gmail.com"
"2033";"Patrik";"Švec";"949 875 230";"psvec@gmail.com"
"2034";"Soňa";"Zelinková";"940 667 815";"szelinkova@gmail.com"
"2035";"Erik";"Hronec";"948 545 633";"ehronec@gmail.com"
"2036";"Katarína";"Blažeková";"943 772 184";"kblazekova@gmail.com"
"2037";"Sebastián";"Mišík";"941 558 097";"smisik@gmail.com"
"2038";"Laura";"Hrnčiarová";"949 263 744";"lhrnciarova@gmail.com"
"2039";"Marek";"Urban";"940 673 220";"murban@gmail.com"
"2040";"Eva";"Baranová";"941 344 667";"ebaranova@gmail.com"
"2041";"Tibor";"Košík";"949 554 989";"tkosik@gmail.com"
"2042";"Tatiana";"Pavlíková";"940 789 412";"tpavlikova@gmail.com"
"2043";"Štefan";"Majer";"941 257 909";"smajer@gmail.com"
"2044";"Karolína";"Švecová";"940 326 578";"ksvecova@gmail.com"
"2045";"Matej";"Bartoň";"949 195 423";"mbarton@gmail.com"
"2046";"Renáta";"Tóthová";"948 875 102";"rtothova@gmail.com"
"2047";"Jozef";"Gašparík";"940 500 313";"jgasparik@gmail.com"
"2048";"Ivana";"Horváthová";"948 246 807";"ihorvathova@gmail.com"
"2049";"Viliam";"Mlynár";"943 785 900";"vmlynar@gmail.com"
"2050";"Kristína";"Beňová";"940 661 278";"kbenova@gmail.com"
"2051";"Richard";"Lukáč";"948 372 199";"rlukac@gmail.com"
"2052";"Ema";"Novotná";"941 592 315";"enovotna@gmail.com"
"2053";"David";"Štefánik";"940 803 400";"dstefanik@gmail.com"
"2054";"Sandra";"Holá";"949 115 982";"shola@gmail.com"
"2055";"Patrícia";"Kúdelová";"943 705 882";"pkudelova@gmail.com"
"2056";"Denis";"Molnár";"940 209 700";"dmolnar@gmail.com"
"2057";"Simona";"Pavlovičová";"948 370 664";"spavlovicova@gmail.com"
"2058";"Róbert";"Olejník";"941 122 501";"rolejnik@gmail.com"
"2059";"Klaudia";"Kozáková";"940 657 355";"kkozakova@gmail.com"
"2060";"Vladimír";"Suchý";"949 487 215";"vsuchy@gmail.com"
